Day,StartTime,EndTime,Room,Midpoint
Friday,2018-05-25 11:00:00,12:00:00,7,0
Friday,2018-05-25 12:00:00,13:00:00,7,0
Friday,2018-05-25 13:00:00,14:00:00,7,0
Friday,2018-05-25 14:00:00,15:00:00,7,0
Friday,2018-05-25 15:00:00,16:00:00,8,0
Friday,2018-05-25 16:00:00,17:00:00,8,0
Friday,2018-05-25 17:00:00,18:00:00,8,0
Friday,2018-05-25 18:00:00,19:00:00,8,0
Friday,2018-05-25 19:00:00,20:00:00,9,0
Friday,2018-05-25 20:00:00,21:00:00,9,0
Friday,2018-05-25 21:00:00,22:00:00,9,0
Friday,2018-05-25 09:00:00,10:00:00,9,0
Friday,2018-05-25 10:00:00,11:00:00,10,0
Friday,2018-05-25 11:00:00,12:00:00,10,0
Friday,2018-05-25 12:00:00,13:00:00,10,0
Friday,2018-05-25 13:00:00,14:00:00,10,0
Friday,2018-05-25 14:00:00,15:00:00,10,0
